Title           , Frequency, Band Start, Band End, Mode, AGC Speed, Frequency Step
CHINA RAD INT 18,17630000,153000,30000000,   AM, VERY SLOW, 1kHz
CHINA RAD INT 19,17650000,153000,30000000,   AM, VERY SLOW, 1kHz
UNITES NATIONS 1,9565000,153000,30000000,   AM, VERY SLOW, 1kHz
UNITES NATIONS 2,17810000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 1       ,6185000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 2       ,7230000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 3       ,7235000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 4       ,7250000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 5       ,7360000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 6       ,9645000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 7       ,9705000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 8       ,11620000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 9       ,11815000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 10      ,15595000,153000,30000000,   AM, VERY SLOW, 1kHz
VATICAN 11      ,17790000,153000,30000000,   AM, VERY SLOW, 1kHz
